,off_avg,def_avg,ovr
growlithe,9.086206271043986,13.221350257542312,-4.135143986498326
pikachu,10.595380506849942,13.104011037527595,-2.508630530677653
psyduck,10.372561089714022,10.210209988962472,0.16235110075155035
squirtle,10.137365119188617,9.100651553744271,1.0367135654443462
dratini,7.488021867721896,9.736228844738777,-2.2482069770168813
charmander,9.301831402268812,13.42659002002156,-4.124758617752748
ditto,0.0,11.387871826710816,-11.387871826710816
rhydon,12.425150977330238,19.97554267844003,-7.55039170110979
graveler,17.855801503571076,20.033793710208915,-2.177992206637839
beedrill,10.493591714298566,13.998837932303164,-3.505246218004599
kabuto,10.012816144354518,11.804970198675495,-1.7921540543209762
shellder,10.14015601311637,8.562809124356145,1.5773468887602249
diglett,10.86049834840334,17.283736276674027,-6.423237928270687
kangaskhan,13.00408146661021,10.643734271523178,2.360347195087032
slowpoke,11.089776399122686,9.354042664289352,1.7357337348333335
grimer,8.423481964662004,12.673899337748345,-4.250417373086341
cubone,9.779914097308263,13.665484750784245,-3.885570653475982
poliwag,8.818153962853117,11.855079470198675,-3.0369255073455577
venonat,7.563103614272932,13.763684105960264,-6.200580491687332
meowth,6.449286920148128,13.881766319772945,-7.432479399624817
nidoran_f,5.571990537082151,12.534358125318391,-6.962367588236241
ekans,5.948630306845093,13.180346177001805,-7.231715870156712
nidoran_m,6.180716778856355,13.614988410596025,-7.43427163173967
zubat,5.985657879571706,14.644663197729422,-8.659005318157716
hitmonlee,14.498447880952071,13.857763249495726,0.6406846314563452
hitmonchan,12.317973260169628,12.876500544890604,-0.5585272847209755
doduo,12.622923198915778,13.132747398297067,-0.5098241993812884
machop,9.786939558231062,14.042991863765375,-4.256052305534313
mankey,9.786939558231062,15.531045411542099,-5.744105853311037
pidgey,7.242812585432449,13.591509697256386,-6.348697111823937
spearow,9.95780898301593,15.862254717652922,-5.904445734636992
onix,6.246962941371078,26.11090921633554,-19.863946274964462
rhyhorn,6.652073801039913,26.7590117346346,-20.106937933594686
sandshrew,7.316987613126674,16.690844176081033,-9.373856562954359
geodude,15.677611320358729,26.678371302428257,-11.000759982069528
krabby,9.400082798530043,12.17575570272259,-2.7756729041925468
jigglypuff,7.824223502044691,21.398652317880796,-13.574428815836104
rattata,7.333726298274108,16.742521286660363,-9.408794988386255
metapod,2.353372604919578,15.9098940397351,-13.556521434815522
kakuna,3.2636619783677445,17.818647682119206,-14.554985703751461
magikarp,2.120394911731312,15.170229981938594,-13.049835070207282
caterpie,2.586350298107844,19.996557237464526,-17.41020693935668
weedle,3.422769153820803,22.84305518763797,-19.420286033817167
