,off_avg,def_avg,ovr
mewtwo,23.087426152199995,5.802485765889739,17.284940386310257
alakazam,20.099138316312448,8.431196958547952,11.667941357764496
gengar,14.618891268975775,5.657159322465614,8.96173194651016
exeggcutor,14.84020807569509,7.938025087650955,6.902182988044135
moltres,11.829692044822218,7.984032818248713,3.8456592265735052
zapdos,19.74175402383353,6.36448944292949,13.37726458090404
articuno,21.444130758960846,6.847450993377483,14.596679765583364
tentacruel,18.318233959403038,7.990045848191543,10.328188111211496
magneton,10.142650462088971,6.372359300569304,3.7702911615196673
kadabra,18.18358915197499,11.317543046357617,6.866046105617372
omastar,17.563039863224468,7.63103758134178,9.932002281882689
hypno,18.066406357032086,6.731297026037597,11.33510933099449
haunter,12.574297178437286,6.3251000575871,6.2491971208501855
vaporeon,16.80162796709472,7.745561910495684,9.056066056599036
jolteon,16.315554792386973,7.7716560305037135,8.54389876188326
flareon,15.732628185835031,9.223095625125428,6.509532560709603
chansey,3.6418652624473076,66.89367202775149,-63.25180676530418
abra,3.607252946628509,20.228255439924315,-16.621002493295805
dragonite,12.89996547926236,6.744024921575461,6.155940557686899
gyarados,16.759839135965283,7.212788917763434,9.54705021820185
starmie,15.759611202956595,6.589611803661863,9.169999399294731
venusaur,12.688852027868403,8.604877204180962,4.083974823687441
ninetales,13.88261334875747,8.790261368653422,5.092351980104048
victreebel,13.254623624791055,9.39138970962812,3.863233915162935
tangela,7.60612363895546,7.415827814569536,0.19029582438592385
vileplume,14.29150642638051,8.538696532917804,5.752809893462706
mr. mime,10.768831992171366,7.138239429444727,3.6305925627266387
tentacool,15.658307957565848,11.547381267738883,4.1109266898269645
gastly,11.253779867227355,7.488378311258278,3.7654015559690768
mew,18.723491570857725,6.18651821192053,12.536973358937194
lapras,18.297784308052808,8.189522089578249,10.10826221847456
dewgong,17.95553459649941,8.189522089578249,9.766012506921163
seadra,15.060311381882885,6.614142906936216,8.446168474946669
jynx,17.308074697671994,10.632602200866403,6.675472496805591
magnemite,8.569634647686252,7.510875168052583,1.058759479633669
raichu,15.688501672901225,8.41339032711218,7.275111345789044
venomoth,10.899098240684507,9.57630647534952,1.322791765334987
omanyte,14.247037987437121,8.6236755334805,5.623362453956622
drowzee,14.832887841603323,8.68965710080942,6.1432307407939035
cloyster,16.85653590554046,6.832911851274727,10.023624054265735
charizard,13.32685240716091,9.393349664878688,3.933502742282222
blastoise,14.793369824757287,6.704882976236853,8.088486848520434
weezing,13.242905949246135,7.400415790157123,5.842490159089012
electabuzz,13.995087998280974,8.389565948373075,5.605522049907899
magmar,13.678110062843063,10.0949742002064,3.583135862636663
clefable,9.797355757624329,8.272540223383192,1.524815534241137
weepinbell,11.91187591629999,10.843401246591352,1.068474669708639
gloom,12.69991042164501,9.485487784517781,3.214422637127228
arcanine,12.61219583930685,9.297412251655627,3.314783587651222
rapidash,8.680165692471148,9.644100638599811,-0.9639349461286635
golduck,14.341666219365681,7.388797440142638,6.952868779223043
electrode,7.843237946664128,7.860179694891202,-0.01694174822707417
slowbro,17.482258277850672,6.340914584587598,11.141343693263074
seaking,14.018353791454684,7.924583863983697,6.093769927470987
parasect,8.76639367269784,12.69514321192053,-3.928749539222691
ivysaur,10.791558443798676,10.006634868075267,0.7849235757234094
butterfree,7.463765078950768,11.250041721854304,-3.7862766429035357
nidoqueen,10.877152364165735,10.43651602344523,0.44063634072050384
nidoking,11.378787794598658,10.683913391244516,0.6948744033541416
golbat,7.808318580772062,9.073431409649956,-1.2651128288778937
porygon,9.189431625010734,8.652325764742985,0.537105860267749
oddish,11.507701992856687,10.718526590407386,0.7891754024493007
tauros,11.239343326338451,8.038284195588307,3.201059130750144
kabutops,14.630493844322825,9.374538473667613,5.255955370655212
poliwrath,14.658468869790457,8.689555893043867,5.968912976746591
pidgeot,10.071475501401618,8.392182024597917,1.6792934768037018
dugtrio,14.111357019712502,11.449983349101231,2.6613736706112707
dragonair,9.298032273438508,7.55363896368532,1.744393309753188
staryu,11.948050340669958,8.782289928614432,3.1657604120555263
seel,12.989442448195453,8.782289928614432,4.207152519581021
bellsprout,10.580911817103564,13.431419110690634,-2.8505072935870697
horsea,11.893528979144273,7.968801324503312,3.924727654640961
snorlax,16.016885344451893,9.233830361691288,6.783054982760605
machamp,13.933578106628785,9.362626910341312,4.5709511962874725
muk,10.52612643087275,9.161059059263032,1.3650673716097188
persian,8.459376415888995,9.536169808116828,-1.0767933922278328
arbok,7.311676963730894,9.379038000103364,-2.0673610363724704
ponyta,7.731887282661319,11.185065530495994,-3.453178247834675
charmeleon,10.943957045391995,10.999094366469338,-0.055137321077342705
wartortle,12.131233550241227,7.781130539989811,4.3501030102514155
eevee,7.2533227184444735,10.345658991339786,-3.092336272895312
bulbasaur,9.42841386263712,11.661114183829415,-2.2327003211922953
vulpix,10.012519258559024,12.553635124808967,-2.5411158662499425
fearow,13.133733342073569,9.208912571089751,3.9248207709838177
aerodactyl,9.150350533596255,10.139031202241465,-0.9886806686452108
dodrio,15.274971120684928,9.087119836013876,6.187851284671051
primeape,11.860258832429922,10.419820640176601,1.4404381922533211
lickitung,9.699070279664777,9.048628366445916,0.6504419132188612
koffing,10.18840116937828,8.980045195770883,1.2083559736073965
exeggcute,8.84269474255588,9.20530242825607,-0.36260768570019053
clefairy,7.412302022048941,10.738671357615893,-3.3263693355669517
farfetchd,8.859191394557689,9.878957130104425,-1.019765735546736
pinsir,10.475856428051623,9.495540818783866,0.9803156092677572
golem,20.05872975711826,17.538345760200063,2.5203839969181985
